category,item,spec,qty,est_mass_g,est_cost_usd,status
Owned,Brushless motor,D3530 1100KV,1,120,0,Have
Owned,Propeller,Turnigy Slowfly 14x4.7 (CW),1-2,22,0,Have
Owned,ESC,50A brushless ESC (with BEC preferred),1,45,0,Have
Owned,Servos,9g class micro servos,4,36,0,Have
Owned,Solar cells,"Monocrystalline 125x125 mm, qty 21",21,300,0,Have
Owned,Battery pack,"3S LiPo in bay <= 54x31x19 mm, target >= 8.33 Wh",1,49-90,0,Have
Owned,Solar MPPT charger,"TI BQ25798EVM buck-boost MPPT charger module (3S Li-ion profile, I2C configurable)",1,45,0,Have
Owned,Airframe + spar material,Carbon spars/tubes and foam/balsa/skin structural set,1 set,550,0,Have
Owned,Control linkages,"Pushrods, horns, clevises, servo arms",1 set,45,0,Have
Owned,Connectors + wire kit,"XT60, heatshrink, silicone wire 14/18/22 AWG",1 set,80,0,Have
Owned,RC transmitter,EdgeTX radio with ELRS 2.4 GHz,1,0,0,Have
Needed,ELRS receiver,2.4 GHz ELRS receiver with CRSF or PWM output for fixed wing,1,3-10,18-45,Buy
Needed,Flight controller,SpeedyBee F405 Wing APP,1,15,45,Buy
Needed,Companion computer,Raspberry Pi Zero 2 W,1,12,15,Buy
Needed,LTE modem,A7670 LTE modem + SIM,1,20,25-55,Buy
Needed,LTE antennas,Main + diversity LTE antennas (as required by modem board),1 set,8,8-20,Buy
Needed,GPS + compass module,M10-class GNSS with integrated compass for RTL/AUTO reliability,1,18,25-60,Buy
Needed,Companion power regulator,Dedicated 5V rail for Pi and separate 3.8-4.0V high-pulse rail for LTE modem,1 set,30,18,Buy
Needed,MPPT branch fuse,10A inline fuse between MPPT output and battery,1,8,6,Buy
Needed,Main battery fuse + holder,40A automotive blade fuse on battery propulsion branch,1,10,8,Buy
Needed,Power monitor,Inline watt meter/current sensor (>=60A),1,25,20,Buy
Needed,UART/power harness parts,"Dupont/JST-SH pigtails for FC UART, crimp pins, and heatshrink strain relief",1 set,12,10,Buy
Needed,Spare propellers,Additional 14x4.7 slowfly props,3,66,15,Buy
Design Target,Peak solar electrical input,Approx 60.4 W at 850 W/m^2 sun,-,-,-,Calculated
