speed_mps,cl,cd,drag_n,power_required_w
8.25,0.7259558104233428,0.051638461657731755,1.2916312277429176,17.95020151755116
8.5,0.6838805169126474,0.05010334682864108,1.3303378020757244,19.048364863627214
8.75,0.6453599000416493,0.048778267780157536,1.3724604016424795,20.229480012080888
9.0,0.6100045351473923,0.04762966421348624,1.4178160294749518,21.495088378941055
9.25,0.5774769010599127,0.04663006864810382,1.4662460788984932,22.846803163215185
9.5,0.5474832947029228,0.04575687441375474,1.5176125340717017,24.286299901760607
9.75,0.519767177877068,0.04499137695216732,1.5717948435319116,25.81530847725244
10.0,0.49410367346938777,0.04431802269046832,1.6286873338747108,27.43560632495638
10.25,0.4702949896198813,0.04372381673028926,1.6881970594955604,29.14901263363233
10.5,0.4481665972511454,0.043197852903239554,1.7502420063489441,30.957383374880255
10.75,0.42756402247215813,0.042730938737761834,1.8147495846468564,32.86260702606581
11.0,0.4083501433631303,0.04231529450889169,1.8816553585741416,34.86660087648332
11.25,0.390402902494331,0.041944310461843964,1.9509019713639695,36.971307826030355
11.5,0.37361336368195674,0.04161234997900569,2.022438232135887,39.178693601446504
11.75,0.3578840550253601,0.04131458922982853,2.0962183372621266,41.490744327926
12.0,0.34312755102040815,0.04104688594254838,2.17220120407966,43.90946440427855
12.25,0.32926525512329047,0.04080567153794188,2.2503498987971833,46.43687463827487
12.5,0.31622635102040814,0.040587862094015825,2.330631143679815,49.075010605750435
12.75,0.3039468964056211,0.04039078455874392,2.413014891200322,51.82592120275606
13.0,0.29236903755585075,0.040212115363771686,2.49747395495545,54.69166736476796
13.25,0.28144032664685664,0.04004982916600381,2.58398368886153,57.674320930892925
13.5,0.2711131267321743,0.03990215589402197,2.6725217075444228,60.775963634272806
13.75,0.2613440917524034,0.03976754463084203,2.7630676419874503,63.998686202626914
14.0,0.25209371095376926,0.03964463314516564,2.855602925446281,67.34458755516464
14.25,0.24332590875685456,0.03953222210642069,2.950110605420756,70.81577408403372
14.5,0.235007692494358,0.03942925319706726,3.046575178121147,74.41435901010146
14.75,0.2271088415831716,0.039334790478520766,3.144982442405067,78.1424618042496
15.0,0.21960163265306124,0.03924800448206782,3.2453193706109826,82.00220766653989
15.25,0.21246059595566258,0.03916815858910982,3.3475739940908458,85.99572705660906
15.5,0.20566229905073372,0.039094597340477294,3.451735301560754,90.12515526950962
15.75,0.19918515433384237,0.03902673637594855,3.5577931486550862,94.39263205194665
16.0,0.1930092474489796,0.03896405375525945,3.665738177294809,98.80030125449254
16.25,0.18711618403574448,0.03890608245300088,3.7755617436714877,103.35031051590471
16.5,0.1814889526058357,0.03885240385360823,3.88725585381073,108.04481097614219
16.75,0.17611180163756301,0.03880264210053619,4.000813105816895,112.88595701508153
17.0,0.17097012922816185,0.03875645917679007,4.116226638018931,117.87590601428784
17.25,0.16605038385864743,0.03871355061313692,4.233490082338172,123.01681813950117
17.5,0.16133997501041233,0.038673641736259846,4.3525975222856195,128.31085614176664
17.75,0.15682719253144622,0.038636484382422356,4.473543455070827,133.7601851753709
18.0,0.15250113378684807,0.03860185401334289,4.596322757368738,139.36697263095022
18.25,0.14835163774648535,0.03856954718032004,4.720930654346414,145.13338798231595
18.5,0.14436922526497817,0.038539379290506486,4.847362691599623,151.06160264569948
18.75,0.1405450448979592,0.03851118263585498,4.975614709691029,157.1537898502574
19.0,0.1368708236757307,0.03848480465085967,5.105682821017925,163.41212451880023
19.25,0.13333882232265482,0.038460106369960965,5.237563388769108,169.83878315781507
19.5,0.129941794469267,0.03843696105951046,5.371253007757978,176.43594375594733
19.75,0.12667294945537902,0.038415253002621455,5.506748486943124,183.20578569019386
20.0,0.12352591836734694,0.03839487641815427,5.6440468334686775,190.1504896391307
